modname:forbidden_arcanus

texture:id=darkstone,filename=assets/forbidden_arcanus/textures/block/darkstone.png,xcount=1,ycount=1
texture:id=arcane_chiseled_darkstone,filename=assets/forbidden_arcanus/textures/block/arcane_chiseled_darkstone.png,xcount=1,ycount=1
texture:id=arcane_gilded_darkstone,filename=assets/forbidden_arcanus/textures/block/arcane_gilded_darkstone.png,xcount=1,ycount=1
texture:id=polished_darkstone,filename=assets/forbidden_arcanus/textures/block/polished_darkstone.png,xcount=1,ycount=1
texture:id=chiseled_polished_darkstone,filename=assets/forbidden_arcanus/textures/block/chiseled_polished_darkstone.png,xcount=1,ycount=1
texture:id=runic_chiseled_polished_darkstone_activated,filename=assets/forbidden_arcanus/textures/block/runic_chiseled_polished_darkstone_activated.png,xcount=1,ycount=1
texture:id=runic_chiseled_polished_darkstone_layer,filename=assets/forbidden_arcanus/textures/block/runic_chiseled_polished_darkstone_layer.png,xcount=1,ycount=1
texture:id=runic_chiseled_polished_darkstone,filename=assets/forbidden_arcanus/textures/block/runic_chiseled_polished_darkstone.png,xcount=1,ycount=1
texture:id=arcane_chiseled_polished_darkstone,filename=assets/forbidden_arcanus/textures/block/arcane_chiseled_polished_darkstone.png,xcount=1,ycount=1
texture:id=polished_darkstone_bricks,filename=assets/forbidden_arcanus/textures/block/polished_darkstone_bricks.png,xcount=1,ycount=1
texture:id=cracked_polished_darkstone_bricks,filename=assets/forbidden_arcanus/textures/block/cracked_polished_darkstone_bricks.png,xcount=1,ycount=1
texture:id=tiled_polished_darkstone_bricks,filename=assets/forbidden_arcanus/textures/block/tiled_polished_darkstone_bricks.png,xcount=1,ycount=1
texture:id=arcane_polished_darkstone,filename=assets/forbidden_arcanus/textures/block/arcane_polished_darkstone.png,xcount=1,ycount=1
texture:id=chiseled_arcane_polished_darkstone,filename=assets/forbidden_arcanus/textures/block/chiseled_arcane_polished_darkstone.png,xcount=1,ycount=1
texture:id=arcane_polished_darkstone_pillar_top,filename=assets/forbidden_arcanus/textures/block/arcane_polished_darkstone_pillar_top.png,xcount=1,ycount=1
texture:id=arcane_polished_darkstone_pillar_side,filename=assets/forbidden_arcanus/textures/block/arcane_polished_darkstone_pillar_side.png,xcount=1,ycount=1
